region,province,city,district,position,candidate_name,last_name,first_name,middle_name,title,party,votes
CORDILLERA ADMINISTRATIVE REGION,ABRA,,,GOVERNOR,"BERNOS, MARIA JOCELYN",BERNOS,MARIA,JOCELYN,,NUP,65148
REGION XIII,AGUSAN DEL NORTE,,,GOVERNOR,"AMANTE-MATBA, ANGEL",AMANTE-MATBA,ANGEL,,,LP,80493
REGION XIII,AGUSAN DEL SUR,,,GOVERNOR,"PLAZA, EDDIEBONG",PLAZA,EDDIEBONG,,,NUP,220550
REGION VI,AKLAN,,,GOVERNOR,"MIRAFLORES, JOEBEN",MIRAFLORES,JOEBEN,,,LP,136123
REGION V,ALBAY,,,GOVERNOR,"BICHARA, AL FRANCIS",BICHARA,AL,FRANCIS,,NP,420138
REGION VI,ANTIQUE,,,GOVERNOR,"CADIAO, RHODORA",CADIAO,RHODORA,,,NUP,131203
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,,GOVERNOR,"BULUT, ELIAS JR.",BULUT,ELIAS,JR.,,LP,41582
REGION III,AURORA,,,GOVERNOR,"NOVERAS, GERARDO",NOVERAS,GERARDO,,,NPC,76784
BARMM,BASILAN,,,GOVERNOR,"SALLIMAN, HATAMAN JIM",SALLIMAN,HATAMAN,JIM,,LP,105010
REGION III,BATAAN,,,GOVERNOR,"GARCIA, ABET",GARCIA,ABET,,,BALIKATAN,313683
REGION II,BATANES,,,GOVERNOR,"CAYCO, MARILOU",CAYCO,MARILOU,,,LP,3418
REGION IV A,BATANGAS,,,GOVERNOR,"MANDANAS, DODO",MANDANAS,DODO,,,IND,337399
CORDILLERA ADMINISTRATIVE REGION,BENGUET,,,GOVERNOR,"PACALSO, CRESENCIO",PACALSO,CRESENCIO,,,IND,64852
REGION VIII,BILIRAN,,,GOVERNOR,"ESPINA, GERRYBOY",ESPINA,GERRYBOY,,,LP,51353
REGION VII,BOHOL,,,GOVERNOR,"CHATTO, EDGAR",CHATTO,EDGAR,,,LP,332855
REGION X,BUKIDNON,,,GOVERNOR,"ZUBIRI, JOSE MARIA JR.",ZUBIRI,JOSE,MARIA JR.,,BPP,384214
REGION III,BULACAN,,,GOVERNOR,"SY-ALVARADO, WILHELMINO",SY-ALVARADO,WILHELMINO,,,LP,684468
REGION II,CAGAYAN,,,GOVERNOR,"MAMBA, MANUEL",MAMBA,MANUEL,,,LP,172244
REGION V,CAMARINES NORTE,,,GOVERNOR,"TALLADO, EDGARDO",TALLADO,EDGARDO,,,NPC,111318
REGION V,CAMARINES SUR,,,GOVERNOR,"VILLAFUERTE, MIGZ",VILLAFUERTE,MIGZ,,,NP,409788
REGION X,CAMIGUIN,,,GOVERNOR,"ROMUALDO, BABY",ROMUALDO,BABY,,,LP,41965
REGION VI,CAPIZ,,,GOVERNOR,"DEL ROSARIO, ANTONIO",DEL ROSARIO,ANTONIO,,,LP,234598
REGION V,CATANDUANES,,,GOVERNOR,"CUA, JOSEPH",CUA,JOSEPH,,,UNA,57197
REGION IV A,CAVITE,,,GOVERNOR,"REMULLA, BOYING",REMULLA,BOYING,,,UNA,1069162
REGION VII,CEBU,,,GOVERNOR,"DAVIDE, HILARIO III",DAVIDE,HILARIO,III,,LP,608493
REGION XII,COTABATO,,,GOVERNOR,"TALIÑO-MENDOZA, EMMYLOU",TALIÑO-MENDOZA,EMMYLOU,,,LP,322064
REGION XI,DAVAO DE ORO,,,GOVERNOR,"UY, JAYVEE TYRON",UY,JAYVEE,TYRON,,LP,163628
REGION XI,DAVAO DEL NORTE,,,GOVERNOR,"DEL ROSARIO, ANTHONY",DEL ROSARIO,ANTHONY,,,LP,263410
REGION XI,DAVAO DEL SUR,,,GOVERNOR,"CAGAS, DOUGLAS",CAGAS,DOUGLAS,,,NP,134477
REGION XI,DAVAO OCCIDENTAL,,,GOVERNOR,"BAUTISTA, CLAUDE",BAUTISTA,CLAUDE,,,NPC,68586
REGION XI,DAVAO ORIENTAL,,,GOVERNOR,"DAYANGHIRANG, NELSON",DAYANGHIRANG,NELSON,,,LP,121946
REGION XIII,DINAGAT ISLANDS,,,GOVERNOR,"ECLEO, MOMMY GLEN",ECLEO,MOMMY,GLEN,,UNA,29202
REGION VIII,EASTERN SAMAR,,,GOVERNOR,"NICART, AKLAN",NICART,AKLAN,,,LP,133576
REGION VI,GUIMARAS,,,GOVERNOR,"GUMARIN, SAMUEL",GUMARIN,SAMUEL,,,LP,46348
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,GOVERNOR,"MAYAM-O, PEDRO",MAYAM-O,PEDRO,,,LP,21867
REGION I,ILOCOS NORTE,,,GOVERNOR,"MARCOS, IMEE",MARCOS,IMEE,,,NP,278298
REGION I,ILOCOS SUR,,,GOVERNOR,"SINGSON, RYAN LUIS",SINGSON,RYAN,LUIS,,NP,279920
REGION VI,ILOILO,,,GOVERNOR,"DEFENSOR, ARTHUR SR",DEFENSOR,ARTHUR,SR,,LP,698687
