region,province,city,district,position,candidate_name,last_name,first_name,middle_name,title,party,votes
REGION VI,GUIMARAS,,,GOVERNOR,"NAVA, RAHMAN",NAVA,RAHMAN,,,NUP,92570
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,GOVERNOR,"DALIPOG, JERRY",DALIPOG,JERRY,,,KBL,80127
REGION I,ILOCOS NORTE,,,GOVERNOR,"MANOTOC, MATTHEW",MANOTOC,MATTHEW,,,NP,261885
REGION I,ILOCOS SUR,,,GOVERNOR,"SINGSON, JERRY",SINGSON,JERRY,,,NPC,313620
REGION VI,ILOILO,,,GOVERNOR,"DEFENSOR, TOTO",DEFENSOR,TOTO,,,NUP,891980
REGION II,ISABELA,,,GOVERNOR,"ALBANO, RODITO",ALBANO,RODITO,,,PDPLBN,673774
CORDILLERA ADMINISTRATIVE REGION,KALINGA,,,GOVERNOR,"EDDUBA, JAMES",EDDUBA,JAMES,,,LAKAS,60070
REGION I,LA UNION,,,GOVERNOR,"ORTEGA-DAVID, RAFY",ORTEGA-DAVID,RAFY,,,PDDS,348269
REGION IV A,LAGUNA,,,GOVERNOR,"HERNANDEZ, RAMIL",HERNANDEZ,RAMIL,,,PDPLBN,887095
REGION X,LANAO DEL NORTE,,,GOVERNOR,"DIMAPORO, ANGGING",DIMAPORO,ANGGING,,,PDPLBN,248583
BARMM,LANAO DEL SUR,,,GOVERNOR,"ADIONG, MAMINTAL JR.",ADIONG,MAMINTAL,JR.,,LAKAS,359079
REGION VIII,LEYTE,,,GOVERNOR,"PETILLA, ICOT",PETILLA,ICOT,,,PDPLBN,547109
BARMM,MAGUINDANAO,,,GOVERNOR,"MANGUDADATU, MARIAM",MANGUDADATU,MARIAM,,BAI,NP,332141
REGION IV B,MARINDUQUE,,,GOVERNOR,"VELASCO, PRESBY",VELASCO,PRESBY,,,PDPLBN,63115
REGION V,MASBATE,,,GOVERNOR,"KHO, TONY",KHO,TONY,,,PDPLBN,250493
REGION X,MISAMIS OCCIDENTAL,,,GOVERNOR,"OAMINAL, HENRY",OAMINAL,HENRY,,,NP,242083
REGION X,MISAMIS ORIENTAL,,,GOVERNOR,"UNABIA, PETER",UNABIA,PETER,,,LAKAS,248859
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,,,GOVERNOR,"LACWASAN, BONI",LACWASAN,BONI,,,PDPLBN,76104
REGION VI,NEGROS OCCIDENTAL,,,GOVERNOR,"LACSON, BONG",LACSON,BONG,,,NPC,935079
REGION VII,NEGROS ORIENTAL,,,GOVERNOR,"TEVES, HENRY",TEVES,HENRY,,,NPC,301319
REGION VIII,NORTHERN SAMAR,,,GOVERNOR,"ONGCHUAN, EDWIN ONG",ONGCHUAN,EDWIN,ONG,,NUP,226400
REGION III,NUEVA ECIJA,,,GOVERNOR,"UMALI, OYIE",UMALI,OYIE,,,SIGAW,826876
REGION II,NUEVA VIZCAYA,,,GOVERNOR,"PADILLA, CARLOS",PADILLA,CARLOS,,,NP,143552
REGION IV B,OCCIDENTAL MINDORO,,,GOVERNOR,"GADIANO, EDUARDO",GADIANO,EDUARDO,,,PDDS,150804
REGION IV B,ORIENTAL MINDORO,,,GOVERNOR,"DOLOR, BONZ",DOLOR,BONZ,,,PDPLBN,255696
REGION IV B,PALAWAN,,,GOVERNOR,"SOCRATES, DENNIS",SOCRATES,DENNIS,,,PPPL,190391
REGION III,PAMPANGA,,,GOVERNOR,"PINEDA, DELTA",PINEDA,DELTA,,,NPC,668787
REGION I,PANGASINAN,,,GOVERNOR,"GUICO, RAMON III",GUICO,RAMON,III,,NP,888027
REGION IV A,QUEZON,,,GOVERNOR,"TAN, DOKTORA HELEN",TAN,DOKTORA,HELEN,,NPC,790739
REGION II,QUIRINO,,,GOVERNOR,"CUA, DAX",CUA,DAX,,,PDDS,82377
REGION IV A,RIZAL,,,GOVERNOR,"YNARES, NINA",YNARES,NINA,,,NPC,952019
REGION IV B,ROMBLON,,,GOVERNOR,"RIANO, OTIK",RIANO,OTIK,,,PDPLBN,94513
REGION VIII,SAMAR,,,GOVERNOR,"TAN, ANN",TAN,ANN,,,NP,293557
REGION XII,SARANGANI,,,GOVERNOR,"PACQUIAO, ROGELIO",PACQUIAO,ROGELIO,,,PCM,166249
REGION VII,SIQUIJOR,,,GOVERNOR,"VILLA, JEC-JEC",VILLA,JEC-JEC,,,NPC,32615
REGION V,SORSOGON,,,GOVERNOR,"HAMOR, BOBOY",HAMOR,BOBOY,,,NPC,285888
REGION XII,SOUTH COTABATO,,,GOVERNOR,"TAMAYO, REYNALDO JR.",TAMAYO,REYNALDO,JR.,,PFP,253944
REGION VIII,SOUTHERN LEYTE,,,GOVERNOR,"MERCADO, MIAN",MERCADO,MIAN,,,PDPLBN,167859
REGION XII,SULTAN KUDARAT,,,GOVERNOR,"MANGUDADATU, PAX",MANGUDADATU,PAX,,DATU,LAKAS,262854
BARMM,SULU,,,GOVERNOR,"TAN, ABDUSAKUR",TAN,ABDUSAKUR,,,PDPLBN,346273
REGION XIII,SURIGAO DEL NORTE,,,GOVERNOR,"BARBERS, LYNDON",BARBERS,LYNDON,,,NP,165373
REGION XIII,SURIGAO DEL SUR,,,GOVERNOR,"PIMENTEL, AYEC",PIMENTEL,AYEC,,,PDPLBN,195606
REGION III,TARLAC,,,GOVERNOR,"YAP, SUSAN",YAP,SUSAN,,,NPC,600355
BARMM,TAWI TAWI,,,GOVERNOR,"SALI, MANG",SALI,MANG,,,TOP,106225
REGION III,ZAMBALES,,,GOVERNOR,"EBDANE, JUN",EBDANE,JUN,,,SZP,199874
REGION IX,ZAMBOANGA DEL NORTE,,,GOVERNOR,"JALOSJOS, NENE",JALOSJOS,NENE,,,NP,256885
REGION IX,ZAMBOANGA DEL SUR,,,GOVERNOR,"YU, VICTOR",YU,VICTOR,,,PDPLBN,291227
REGION IX,ZAMBOANGA SIBUGAY,,,GOVERNOR,"HOFER, ANN",HOFER,ANN,,,PDPLBN,168373
CORDILLERA ADMINISTRATIVE REGION,ABRA,,,VICE GOVERNOR,"BERNOS, JOY",BERNOS,JOY,,,ASENSO,102353
REGION XIII,AGUSAN DEL NORTE,,,VICE GOVERNOR,"CORVERA, RICO",CORVERA,RICO,,,PDPLBN,151411
REGION XIII,AGUSAN DEL SUR,,,VICE GOVERNOR,"TORTOR, SAMMY",TORTOR,SAMMY,,,NUP,230233
REGION VI,AKLAN,,,VICE GOVERNOR,"QUIMPO, BOY",QUIMPO,BOY,,ATTY.,NP,143761
REGION V,ALBAY,,,VICE GOVERNOR,"LAGMAN, GREX",LAGMAN,GREX,,,AKSYON,463879
REGION VI,ANTIQUE,,,VICE GOVERNOR,"DENOSTA, EDGAR",DENOSTA,EDGAR,,,NPC,135955
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,,VICE GOVERNOR,"ALBANO, REMY",ALBANO,REMY,,,KBL,28279
REGION III,AURORA,,,VICE GOVERNOR,"NOVERAS, GERARDO",NOVERAS,GERARDO,,,PDPLBN,77378
BARMM,BASILAN,,,VICE GOVERNOR,"ALANO, YUSOP",ALANO,YUSOP,,,PDPLBN,146013
REGION III,BATAAN,,,VICE GOVERNOR,"GARCIA, CRIS",GARCIA,CRIS,,,NUP,340594
REGION II,BATANES,,,VICE GOVERNOR,"VILLA, IGNACIO",VILLA,IGNACIO,,,LP,3580
REGION IV A,BATANGAS,,,VICE GOVERNOR,"LEVISTE, MARK",LEVISTE,MARK,,,PDPLBN,1010937
CORDILLERA ADMINISTRATIVE REGION,BENGUET,,,VICE GOVERNOR,"FELIPE, TAGEL",FELIPE,TAGEL,,,IND,101276
REGION VIII,BILIRAN,,,VICE GOVERNOR,"CANEJA, KOKOY",CANEJA,KOKOY,,,NP,54820
REGION VII,BOHOL,,,VICE GOVERNOR,"BALITE, DIONISIO VICTOR",BALITE,DIONISIO,VICTOR,,NPC,361722
REGION X,BUKIDNON,,,VICE GOVERNOR,"QUIÑO, CLIVE",QUIÑO,CLIVE,,,BPP,349394
REGION III,BULACAN,,,VICE GOVERNOR,"CASTRO, ALEX",CASTRO,ALEX,,,NUP,755785
REGION II,CAGAYAN,,,VICE GOVERNOR,"VARGAS, BOY",VARGAS,BOY,,,PDPLBN,197611
REGION V,CAMARINES NORTE,,,VICE GOVERNOR,"ASCUTIA, JOSEPH",ASCUTIA,JOSEPH,,,LP,168782
REGION V,CAMARINES SUR,,,VICE GOVERNOR,"FORTUNO, SAL JR.",FORTUNO,SAL,JR.,,PDPLBN,423584
REGION X,CAMIGUIN,,,VICE GOVERNOR,"ROMUALDO, DAN-DAN",ROMUALDO,DAN-DAN,,,PDPLBN,35893
REGION VI,CAPIZ,,,VICE GOVERNOR,"MAGBANUA, JAMES MITANG",MAGBANUA,JAMES,MITANG,,LAKAS,204413
REGION V,CATANDUANES,,,VICE GOVERNOR,"CUA, BOSSTE",CUA,BOSSTE,,,PDPLBN,110049
REGION IV A,CAVITE,,,VICE GOVERNOR,"TOLENTINO, ATHENA BRYANA",TOLENTINO,ATHENA,BRYANA,,NUP,1196761
REGION VII,CEBU,,,VICE GOVERNOR,"DAVIDE, HILARIO III",DAVIDE,HILARIO,III,,LP,788081
REGION XII,COTABATO,,,VICE GOVERNOR,"PIÑOL, EFREN",PIÑOL,EFREN,,,PDPLBN,295951
REGION XI,DAVAO DE ORO,,,VICE GOVERNOR,"UY, JAYVEE TYRON",UY,JAYVEE,TYRON,,HNP,224048
REGION XI,DAVAO DEL NORTE,,,VICE GOVERNOR,"UY, OYO",UY,OYO,,,HNP,286057
REGION XI,DAVAO DEL SUR,,,VICE GOVERNOR,"CAGAS-FERNANDEZ, AIAI",CAGAS-FERNANDEZ,AIAI,,,NP,228897
REGION XI,DAVAO OCCIDENTAL,,,VICE GOVERNOR,"BANDIGAN, LORNA",BANDIGAN,LORNA,,,LAKAS,95565
REGION XI,DAVAO ORIENTAL,,,VICE GOVERNOR,"UY, NIÑO",UY,NIÑO,,,NP,167312
REGION XIII,DINAGAT ISLANDS,,,VICE GOVERNOR,"ECLEO, BENGLEN",ECLEO,BENGLEN,,,LAKAS,33326
REGION VIII,EASTERN SAMAR,,,VICE GOVERNOR,"SISON, MARICAR",SISON,MARICAR,,,PDPLBN,130040
REGION VI,GUIMARAS,,,VICE GOVERNOR,"GANDO, EDWARD",GANDO,EDWARD,,,PDPLBN,57746
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,VICE GOVERNOR,"PRUDENCIANO, GLENN",PRUDENCIANO,GLENN,,,LP,54728
REGION I,ILOCOS NORTE,,,VICE GOVERNOR,"MARCOS, CECILIA",MARCOS,CECILIA,,,NP,267896
REGION I,ILOCOS SUR,,,VICE GOVERNOR,"SINGSON, RYAN",SINGSON,RYAN,,,BILEG,326228
REGION VI,ILOILO,,,VICE GOVERNOR,"GARIN, TINGTING",GARIN,TINGTING,,,NP,725282
REGION II,ISABELA,,,VICE GOVERNOR,"DY, BOJIE",DY,BOJIE,,,PDPLBN,632938
CORDILLERA ADMINISTRATIVE REGION,KALINGA,,,VICE GOVERNOR,"BAAC, JOCEL",BAAC,JOCEL,,,AKSYON,68616
REGION I,LA UNION,,,VICE GOVERNOR,"ORTEGA, MARIO EDUARDO",ORTEGA,MARIO,EDUARDO,,IND,318826
REGION IV A,LAGUNA,,,VICE GOVERNOR,"AGAPAY, KAREN",AGAPAY,KAREN,,,PDPLBN,856616
REGION X,LANAO DEL NORTE,,,VICE GOVERNOR,"LIM, ALLAN",LIM,ALLAN,,,PDPLBN,204314
BARMM,LANAO DEL SUR,,,VICE GOVERNOR,"ADIONG, MUJAM",ADIONG,MUJAM,,,LAKAS,362392
REGION VIII,LEYTE,,,VICE GOVERNOR,"JAVIER, SANDY",JAVIER,SANDY,,,PDPLBN,510922
BARMM,MAGUINDANAO,,,VICE GOVERNOR,"SINSUAT, AINEE",SINSUAT,AINEE,,BAI,NP,303013
REGION IV B,MARINDUQUE,,,VICE GOVERNOR,"ANGELES, LYN",ANGELES,LYN,,,PDPLBN,42112
REGION V,MASBATE,,,VICE GOVERNOR,"KHO, OLGA",KHO,OLGA,,,PDPLBN,251229
REGION X,MISAMIS OCCIDENTAL,,,VICE GOVERNOR,"GUTIERREZ, MICHAEL",GUTIERREZ,MICHAEL,,,PDPLBN,202431
REGION X,MISAMIS ORIENTAL,,,VICE GOVERNOR,"PELAEZ, JIGJAG",PELAEZ,JIGJAG,,,PADAYN,251042
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,,,VICE GOVERNOR,"TAULI, FRANCIS",TAULI,FRANCIS,,,PDPLBN,45143
REGION VI,NEGROS OCCIDENTAL,,,VICE GOVERNOR,"FERRER, JEFFREY",FERRER,JEFFREY,,,NUP,818245
REGION VII,NEGROS ORIENTAL,,,VICE GOVERNOR,"REYES, GUIDO",REYES,GUIDO,,,NP,263630
REGION VIII,NORTHERN SAMAR,,,VICE GOVERNOR,"DATO, CLARENCE",DATO,CLARENCE,,,NUP,169407
REGION III,NUEVA ECIJA,,,VICE GOVERNOR,"UMALI, ANTHONY",UMALI,ANTHONY,,DOC,SIGAW,786167
REGION II,NUEVA VIZCAYA,,,VICE GOVERNOR,"GAMBITO, JOSE",GAMBITO,JOSE,,,LAKAS,123079
REGION IV B,OCCIDENTAL MINDORO,,,VICE GOVERNOR,"APIGO-TAYAG, DIANA",APIGO-TAYAG,DIANA,,,PDDS,142152
REGION IV B,ORIENTAL MINDORO,,,VICE GOVERNOR,"FALCON, EJAY",FALCON,EJAY,,,PDPLBN,226875
REGION IV B,PALAWAN,,,VICE GOVERNOR,"OLA, ONSOY",OLA,ONSOY,,,PPPL,230003
REGION III,PAMPANGA,,,VICE GOVERNOR,"PINEDA, NANAY BABY",PINEDA,NANAY,BABY,,KMBLN,895160
REGION I,PANGASINAN,,,VICE GOVERNOR,"LAMBINO, MARK",LAMBINO,MARK,,,LAKAS,880348
REGION IV A,QUEZON,,,VICE GOVERNOR,"ALCALA, THIRD",ALCALA,THIRD,,,NPC,665570
REGION II,QUIRINO,,,VICE GOVERNOR,"VAQUILAR, JOJO",VAQUILAR,JOJO,,,PDPLBN,60249
REGION IV A,RIZAL,,,VICE GOVERNOR,"SAN JUAN, JUNREY",SAN JUAN,JUNREY,,,PFP,515006
REGION IV B,ROMBLON,,,VICE GOVERNOR,"GUTIERREZ, ARMING",GUTIERREZ,ARMING,,,PDPLBN,76102
REGION VIII,SAMAR,,,VICE GOVERNOR,"TAN, ARNOLD",TAN,ARNOLD,,,NP,277561
REGION XII,SARANGANI,,,VICE GOVERNOR,"DE PERALTA, ELMER",DE PERALTA,ELMER,,,PCM,146068
REGION VII,SIQUIJOR,,,VICE GOVERNOR,"QUEZON-BROWN, MIMI",QUEZON-BROWN,MIMI,,,NPC,33932
REGION V,SORSOGON,,,VICE GOVERNOR,"ESCUDERO, JUN",ESCUDERO,JUN,,,NPC,290282
REGION XII,SOUTH COTABATO,,,VICE GOVERNOR,"PINGOY, DODO",PINGOY,DODO,,,PFP,253780
REGION VIII,SOUTHERN LEYTE,,,VICE GOVERNOR,"MERCADO, MILAI",MERCADO,MILAI,,,PDPLBN,154014
REGION XII,SULTAN KUDARAT,,,VICE GOVERNOR,"SAKALURAN, RADEN",SAKALURAN,RADEN,,,LAKAS,228254
BARMM,SULU,,,VICE GOVERNOR,"TAN, ABDUSAKUR II",TAN,ABDUSAKUR,II,,PDPLBN,343050
REGION XIII,SURIGAO DEL NORTE,,,VICE GOVERNOR,"GOKIANGKEE, GEED",GOKIANGKEE,GEED,,,PDPLBN,174363
REGION XIII,SURIGAO DEL SUR,,,VICE GOVERNOR,"ALAMEDA, MANGI",ALAMEDA,MANGI,,,HUGPNG,160009
REGION III,TARLAC,,,VICE GOVERNOR,"DAVID, CASADA",DAVID,CASADA,,,NPC,443335
BARMM,TAWI TAWI,,,VICE GOVERNOR,"SALI, AL-SYED",SALI,AL-SYED,,,TOP,105594
REGION III,ZAMBALES,,,VICE GOVERNOR,"KHONGHUN, JAQ",KHONGHUN,JAQ,,,AKSYON,215668
REGION IX,ZAMBOANGA DEL NORTE,,,VICE GOVERNOR,"NAPIGQUIT, JULIUS",NAPIGQUIT,JULIUS,,,PDPLBN,240824
REGION IX,ZAMBOANGA DEL SUR,,,VICE GOVERNOR,"ARIOSA, ROSELLER",ARIOSA,ROSELLER,,,PDPLBN,241920
REGION IX,ZAMBOANGA SIBUGAY,,,VICE GOVERNOR,"OLEGARIO, REY ANDRE",OLEGARIO,REY,ANDRE,,NP,166977
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"BAROÑA, VICTORINO JR.",BAROÑA,VICTORINO,JR.,,ASENSO,42955
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"GAYAO, HENRIETTA",GAYAO,HENRIETTA,,,ASENSO,39464
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"DE LA PAZ, RODOLFO",DE LA PAZ,RODOLFO,,,ASENSO,38613
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"DIAZ, AMADOR",DIAZ,AMADOR,,,ASENSO,38376
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"BRAGAS, RUSSELL",BRAGAS,RUSSELL,,,ASENSO,65547
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"SEARES, ALLAN",SEARES,ALLAN,,,ASENSO,52826
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"JENKINS, GINA",JENKINS,GINA,,,ASENSO,48803
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"ABAYA, PAT",ABAYA,PAT,,,ASENSO,46596
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"BAUTISTA, LARRY",BAUTISTA,LARRY,,,PDPLBN,10994
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"PAREÑAS, ARVIN",PAREÑAS,ARVIN,,,PFP,2865
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"FAMADOR, NIEVA",FAMADOR,NIEVA,,,PDPLBN,114495
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"LIM, RYAN JADE",LIM,RYAN,JADE,,PDPLBN,112624
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"PITOGO, RUDY",PITOGO,RUDY,,FR.,PDPLBN,111717
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"DANO, ERWIN",DANO,ERWIN,,,PDPLBN,110820
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"ALONDE, CESAR",ALONDE,CESAR,,,NUP,93444
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"CEBALLOS, GINA",CEBALLOS,GINA,,,NUP,85664
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"MASENDO, JESRYL",MASENDO,JESRYL,,,NUP,85016
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"MANPATILAN, NILO",MANPATILAN,NILO,,,NUP,82706
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"ELORDE, COX",ELORDE,COX,,,NUP,102822
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"PLAZA, JOSEPH",PLAZA,JOSEPH,,,NUP,99815
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"LIM, ALLAN",LIM,ALLAN,,,NUP,96145
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"YUCOSING, PAMELA",YUCOSING,PAMELA,,,NUP,94752
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"NERON, AMPOD",NERON,AMPOD,,,NPC,87724
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"QUIMPO, MARK",QUIMPO,MARK,,,NP,87302
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"BAUTISTA, MARK ACE",BAUTISTA,MARK,ACE,,NP,84070
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"TUPAS, TEDDY",TUPAS,TEDDY,,,PDPLBN,57594
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"CLEOPE, APOL",CLEOPE,APOL,,,NPC,49163
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"TEJADA, JAY",TEJADA,JAY,,,PDPLBN,97017
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"DALISAY, LOLONG",DALISAY,LOLONG,,,NP,81725
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"GALLENERO, JUPITER",GALLENERO,JUPITER,,,PDPLBN,78267
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"CORDOVA, JOJO",CORDOVA,JOJO,,,NP,73806
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"SOLIDUM, VICE LARRY",SOLIDUM,VICE,LARRY,,PDPLBN,67776
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"BONGAO, ATE GLENDA",BONGAO,ATE,GLENDA,,LP,119004
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"BRAGAIS, REY",BRAGAIS,REY,,,LP,117486
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"ZIGA, VICTOR JR.",ZIGA,VICTOR,JR.,,LAKAS,115264
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"BALTAZAR, VINCE",BALTAZAR,VINCE,,,PDPLBN,129489
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"ABADEZA, MELISSA",ABADEZA,MELISSA,,,NP,115610
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"ROSAL, ROLLY",ROSAL,ROLLY,,,KANP,111065
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"SALCEDA, JESAP",SALCEDA,JESAP,,,NUP,138555
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"PALMIANO, JACEM",PALMIANO,JACEM,,,NUP,108686
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"ARANDIA, DANTE",ARANDIA,DANTE,,,PROMDI,108673
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"PLAMERAS, NENE MAYE",PLAMERAS,NENE,MAYE,,AKSYON,79637
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"MOLINA, RONY",MOLINA,RONY,,,PDPLBN,79427
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"BERIONG, DANTE",BERIONG,DANTE,,,IND,69810
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"NIQUIA, DONDON ODANGO",NIQUIA,DONDON,ODANGO,,NPC,64484
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"SUMANDE, PIO",SUMANDE,PIO,,,NPC,61272
