region,province,city,district,position,candidate_name,last_name,first_name,middle_name,title,party,votes
CORDILLERA ADMINISTRATIVE REGION,ABRA,,,GOVERNOR,"VALERA, NIC",VALERA,NIC,,,ASENSO,74337
REGION XIII,AGUSAN DEL NORTE,,,GOVERNOR,"AMANTE, ANGEL",AMANTE,ANGEL,,,PDPLBN,166971
REGION XIII,AGUSAN DEL SUR,,,GOVERNOR,"CANE, SANTI",CANE,SANTI,,,NUP,258786
REGION VI,AKLAN,,,GOVERNOR,"MIRAFLORES, JOEN",MIRAFLORES,JOEN,,,PDPLBN,196897
REGION V,ALBAY,,,GOVERNOR,"ROSAL, NOEL",ROSAL,NOEL,,,KANP,469481
REGION VI,ANTIQUE,,,GOVERNOR,"CADIAO, GOV DODOD",CADIAO,GOV,DODOD,,NUP,217573
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,,GOVERNOR,"BULUT, BUTZY",BULUT,BUTZY,,,NPC,49851
REGION III,AURORA,,,GOVERNOR,"NOVERAS, CHRISTIAN",NOVERAS,CHRISTIAN,,ATTY,PDPLBN,76220
BARMM,BASILAN,,,GOVERNOR,"HATAMAN-SALLIMAN, JIM",HATAMAN-SALLIMAN,JIM,,,PDPLBN,121457
REGION III,BATAAN,,,GOVERNOR,"GARCIA, JOET",GARCIA,JOET,,,PDPLBN,376924
REGION II,BATANES,,,GOVERNOR,"CAYCO, MALOU",CAYCO,MALOU,,,LP,6489
REGION IV A,BATANGAS,,,GOVERNOR,"MANDANAS, DODO",MANDANAS,DODO,,,PDPLBN,928322
CORDILLERA ADMINISTRATIVE REGION,BENGUET,,,GOVERNOR,"DICLAS, MELCHOR",DICLAS,MELCHOR,,,PDPLBN,112345
REGION VIII,BILIRAN,,,GOVERNOR,"ESPINA, GERARD",ESPINA,GERARD,,,NP,73565
REGION VII,BOHOL,,,GOVERNOR,"AUMENTADO, ARIS",AUMENTADO,ARIS,,,NPC,469736
REGION X,BUKIDNON,,,GOVERNOR,"ROQUE, ONEIL",ROQUE,ONEIL,,,PRP,371222
REGION III,BULACAN,,,GOVERNOR,"FERNANDO, DANIEL",FERNANDO,DANIEL,,,NUP,987160
REGION II,CAGAYAN,,,GOVERNOR,"MAMBA, MANUEL",MAMBA,MANUEL,,,NP,302025
REGION V,CAMARINES NORTE,,,GOVERNOR,"PADILLA, DONG",PADILLA,DONG,,,AKSYON,162081
REGION V,CAMARINES SUR,,,GOVERNOR,"VILLAFUERTE, LUIGI LRV",VILLAFUERTE,LUIGI,LRV,,PDPLBN,492415
REGION X,CAMIGUIN,,,GOVERNOR,"ROMUALDO, XJ",ROMUALDO,XJ,,,PDPLBN,37183
REGION VI,CAPIZ,,,GOVERNOR,"CASTRO, OTO",CASTRO,OTO,,,LAKAS,253074
REGION V,CATANDUANES,,,GOVERNOR,"CUA, BOBOY",CUA,BOBOY,,,NPC,101838
REGION IV A,CAVITE,,,GOVERNOR,"REMULLA, JONVIC",REMULLA,JONVIC,,,NUP,1368810
REGION VII,CEBU,,,GOVERNOR,"GARCIA, GWEN",GARCIA,GWEN,,,1CEBU,1478436
REGION XII,COTABATO,,,GOVERNOR,"MENDOZA, LALA",MENDOZA,LALA,,,NP,310681
REGION XI,DAVAO DE ORO,,,GOVERNOR,"GONZAGA, DOROTHY",GONZAGA,DOROTHY,,,PDR,226731
REGION XI,DAVAO DEL NORTE,,,GOVERNOR,"JUBAHIB, KUYA EDWIN",JUBAHIB,KUYA,EDWIN,,PDR,310947
REGION XI,DAVAO DEL SUR,,,GOVERNOR,"CAGAS, MRSMARC",CAGAS,MRSMARC,,,NP,183697
REGION XI,DAVAO OCCIDENTAL,,,GOVERNOR,"BAUTISTA, FRANKLIN",BAUTISTA,FRANKLIN,,,LAKAS,102421
REGION XI,DAVAO ORIENTAL,,,GOVERNOR,"MALANYAON, CORA",MALANYAON,CORA,,,NP,237401
REGION XIII,DINAGAT ISLANDS,,,GOVERNOR,"DEMEREY, NILO JR.",DEMEREY,NILO,JR.,,LAKAS,34906
REGION VIII,EASTERN SAMAR,,,GOVERNOR,"EVARDONE, BEN",EVARDONE,BEN,,,PDPLBN,211554
