region,province,city,district,position,candidate_name,last_name,first_name,middle_name,title,party,votes
BARMM,LANAO DEL SUR,,,GOVERNOR,"ADIONG, MAMINTAL JR.",ADIONG,MAMINTAL,JR.,,LAKAS,234199
REGION VIII,LEYTE,,,GOVERNOR,"PETILLA, MIC",PETILLA,MIC,,,PDPLBN,463944
BARMM,MAGUINDANAO,,,GOVERNOR,"MAGUNDADATU, MARIAM",MAGUNDADATU,MARIAM,,BAI,NP,253764
REGION IV B,MARINDUQUE,,,GOVERNOR,"VELASCO, JUSTICE",VELASCO,JUSTICE,,,PDPLBN,66526
REGION V,MASBATE,,,GOVERNOR,"KHO, TONY",KHO,TONY,,,PDPLBN,265850
REGION X,MISAMIS OCCIDENTAL,,,GOVERNOR,"TAN, PHILIP",TAN,PHILIP,,,NP,172100
REGION X,MISAMIS ORIENTAL,,,GOVERNOR,"EMANO, BAMBI",EMANO,BAMBI,,,PADAYN,250433
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,,,GOVERNOR,"LACWASAN, BONIFACIO JR.",LACWASAN,BONIFACIO,JR.,,PDPLBN,31908
REGION VI,NEGROS OCCIDENTAL,,,GOVERNOR,"LACSON, BONG",LACSON,BONG,,,NPC,827332
REGION VII,NEGROS ORIENTAL,,,GOVERNOR,"DEGAMO, ROEL",DEGAMO,ROEL,,,NP,425405
REGION VIII,NORTHERN SAMAR,,,GOVERNOR,"ONGCHUAN, EDWIN ONG",ONGCHUAN,EDWIN,ONG,,NUP,184087
REGION III,NUEVA ECIJA,,,GOVERNOR,"UMALI, OYIE",UMALI,OYIE,,,SIGAW,477066
REGION II,NUEVA VIZCAYA,,,GOVERNOR,"PADILLA, CARLOS",PADILLA,CARLOS,,,NP,115367
REGION IV B,OCCIDENTAL MINDORO,,,GOVERNOR,"GADIANO, ED",GADIANO,ED,,,PDDS,114808
REGION IV B,ORIENTAL MINDORO,,,GOVERNOR,"DOLOR, BONZ",DOLOR,BONZ,,,PDPLBN,213094
REGION IV B,PALAWAN,,,GOVERNOR,"ALVAREZ, JCA",ALVAREZ,JCA,,,PDPLBN,206794
REGION III,PAMPANGA,,,GOVERNOR,"PINEDA, DELTA",PINEDA,DELTA,,,NPC,656784
REGION I,PANGASINAN,,,GOVERNOR,"ESPINO, AMADO III",ESPINO,AMADO,III,,PDPLBN,781307
REGION IV A,QUEZON,,,GOVERNOR,"SUAREZ, DANNY",SUAREZ,DANNY,,,LAKAS,588929
REGION II,QUIRINO,,,GOVERNOR,"CUA, DAX",CUA,DAX,,,PDPLBN,76254
REGION IV A,RIZAL,,,GOVERNOR,"YNARES, NINI",YNARES,NINI,,,NPC,811680
REGION IV B,ROMBLON,,,GOVERNOR,"RIANO, OTIK",RIANO,OTIK,,,PDPLBN,75322
REGION VIII,SAMAR,,,GOVERNOR,"TAN, MILA MILAGROSA",TAN,MILA,MILAGROSA,,PDPLBN,210311
REGION XII,SARANGANI,,,GOVERNOR,"SOLON, STEVE",SOLON,STEVE,,,PDPLBN,175010
REGION VII,SIQUIJOR,,,GOVERNOR,"JECOY, VILLA",JECOY,VILLA,,,PDPLBN,41155
REGION V,SORSOGON,,,GOVERNOR,"ESCUDERO, CHIZ",ESCUDERO,CHIZ,,,NPC,303960
REGION XII,SOUTH COTABATO,,,GOVERNOR,"TAMAYO, REYNALDO JR.",TAMAYO,REYNALDO,JR.,,PFP,222060
REGION VIII,SOUTHERN LEYTE,,,GOVERNOR,"MERCADO, DAMIAN",MERCADO,DAMIAN,,,PDPLBN,135172
REGION XII,SULTAN KUDARAT,,,GOVERNOR,"MANGUDADATU, TENG",MANGUDADATU,TENG,,,NUP,223043
BARMM,SULU,,,GOVERNOR,"TAN, ABDUSAKUR",TAN,ABDUSAKUR,,,PDPLBN,132277
REGION XIII,SURIGAO DEL NORTE,,,GOVERNOR,"MATUGAS, LALO",MATUGAS,LALO,,,PDPLBN,152152
REGION XIII,SURIGAO DEL SUR,,,GOVERNOR,"PIMENTEL, AYEC",PIMENTEL,AYEC,,,PDPLBN,202072
REGION III,TARLAC,,,GOVERNOR,"YAP, SUSAN",YAP,SUSAN,,,NPC,534122
BARMM,TAWI TAWI,,,GOVERNOR,"SALI, YSHMAEL",SALI,YSHMAEL,,,NUP,92795
REGION III,ZAMBALES,,,GOVERNOR,"EBDANE, JUN",EBDANE,JUN,,,PDPLBN,151667
REGION IX,ZAMBOANGA DEL NORTE,,,GOVERNOR,"UY, BERTO",UY,BERTO,,,PDPLBN,219412
REGION IX,ZAMBOANGA DEL SUR,,,GOVERNOR,"YU, VICTOR",YU,VICTOR,,,PDPLBN,280411
REGION IX,ZAMBOANGA SIBUGAY,,,GOVERNOR,"PALMA, WILTER",PALMA,WILTER,,,PDPLBN,139130
CORDILLERA ADMINISTRATIVE REGION,ABRA,,,VICE GOVERNOR,"BALAO-AS, RONALD",BALAO-AS,RONALD,,,ASENSO,77411
REGION XIII,AGUSAN DEL NORTE,,,VICE GOVERNOR,"BUNGABONG, RAMBU",BUNGABONG,RAMBU,,,PDPLBN,123900
REGION XIII,AGUSAN DEL SUR,,,VICE GOVERNOR,"TORTOR, SAMUEL",TORTOR,SAMUEL,,,NUP,161988
REGION VI,AKLAN,,,VICE GOVERNOR,"QUIMPO, BOY",QUIMPO,BOY,,ATTY,NP,126964
REGION V,ALBAY,,,VICE GOVERNOR,"LAGMAN, EDCEL GRECO",LAGMAN,EDCEL,GRECO,,PDPLBN,360013
REGION VI,ANTIQUE,,,VICE GOVERNOR,"DENOSTA, EDGAR",DENOSTA,EDGAR,,,NPC,116851
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,,VICE GOVERNOR,"ALBANO, REMY",ALBANO,REMY,,,LP,39619
REGION III,AURORA,,,VICE GOVERNOR,"NOVERAS, CHRISTIAN",NOVERAS,CHRISTIAN,,,PDPLBN,53474
BARMM,BASILAN,,,VICE GOVERNOR,"ALANO, YUSOP",ALANO,YUSOP,,,PDPLBN,100357
REGION III,BATAAN,,,VICE GOVERNOR,"GARCIA, CRIS",GARCIA,CRIS,,,NUP,289331
REGION II,BATANES,,,VICE GOVERNOR,"VILLA, IGNACIO",VILLA,IGNACIO,,,LP,4977
REGION IV A,BATANGAS,,,VICE GOVERNOR,"LEVISTE, MARK",LEVISTE,MARK,,,PDPLBN,819023
CORDILLERA ADMINISTRATIVE REGION,BENGUET,,,VICE GOVERNOR,"WAGUIS, JOHNNY",WAGUIS,JOHNNY,,,PDPLBN,79461
REGION VIII,BILIRAN,,,VICE GOVERNOR,"CANEJA, KOKOY",CANEJA,KOKOY,,,NP,36152
REGION VII,BOHOL,,,VICE GOVERNOR,"RELAMPAGOS, RENE",RELAMPAGOS,RENE,,,NUP,330904
REGION X,BUKIDNON,,,VICE GOVERNOR,"QUIÑO, ROGELIO",QUIÑO,ROGELIO,,,BPP,215832
REGION III,BULACAN,,,VICE GOVERNOR,"SY-ALVARADO, WILHELMINO",SY-ALVARADO,WILHELMINO,,,NUP,812859
REGION II,CAGAYAN,,,VICE GOVERNOR,"VARGAS, BOY",VARGAS,BOY,,,UNA,216336
REGION V,CAMARINES NORTE,,,VICE GOVERNOR,"PIMENTEL, JONAH",PIMENTEL,JONAH,,,PDPLBN,121919
REGION V,CAMARINES SUR,,,VICE GOVERNOR,"PAPIN, IMELDA",PAPIN,IMELDA,,,PDPLBN,383951
REGION X,CAMIGUIN,,,VICE GOVERNOR,"ROMUALDO, DAN-DAN",ROMUALDO,DAN-DAN,,,PDPLBN,39648
REGION VI,CAPIZ,,,VICE GOVERNOR,"MAGBANUA, JAMES MITANG",MAGBANUA,JAMES,MITANG,,NUP,187952
REGION V,CATANDUANES,,,VICE GOVERNOR,"ABUNDO, SHIRLEY",ABUNDO,SHIRLEY,,,PFP,104710
REGION IV A,CAVITE,,,VICE GOVERNOR,"REVILLA, RAMON JOLO III",REVILLA,RAMON,JOLO III,,NPC,1038554
REGION VII,CEBU,,,VICE GOVERNOR,"DAVIDE, JUNJUN",DAVIDE,JUNJUN,,,LP,781312
REGION XII,COTABATO,,,VICE GOVERNOR,"MENDOZA, EMMYLOU",MENDOZA,EMMYLOU,,,NP,326718
REGION XI,DAVAO DE ORO,,,VICE GOVERNOR,"ZAMORA, MARICAR",ZAMORA,MARICAR,,,HNP,236667
REGION XI,DAVAO DEL NORTE,,,VICE GOVERNOR,"UY, REY",UY,REY,,,PDPLBN,269280
REGION XI,DAVAO DEL SUR,,,VICE GOVERNOR,"CAGAS, MARC DOUGLAS IV",CAGAS,MARC,DOUGLAS IV,,NP,162729
REGION XI,DAVAO OCCIDENTAL,,,VICE GOVERNOR,"BAUTISTA, FRANKLIN",BAUTISTA,FRANKLIN,,,HNP,79242
REGION XI,DAVAO ORIENTAL,,,VICE GOVERNOR,"UY, NIÑO SOTERO JR.",UY,NIÑO,SOTERO JR.,,NP,166467
REGION XIII,DINAGAT ISLANDS,,,VICE GOVERNOR,"DEMEREY, NILO",DEMEREY,NILO,,,PDPLBN,27833
REGION VIII,EASTERN SAMAR,,,VICE GOVERNOR,"SISON, MARICAR",SISON,MARICAR,,,PDPLBN,98520
REGION VI,GUIMARAS,,,VICE GOVERNOR,"GANDO, EDWARD",GANDO,EDWARD,,,PDPLBN,56616
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,VICE GOVERNOR,"PRUDENCIANO, GLENN",PRUDENCIANO,GLENN,,,LP,39199
REGION I,ILOCOS NORTE,,,VICE GOVERNOR,"MARCOS, MARIANO II",MARCOS,MARIANO,II,,NP,227311
REGION I,ILOCOS SUR,,,VICE GOVERNOR,"SINGSON, JERRY",SINGSON,JERRY,,,BILEG,241144
REGION VI,ILOILO,,,VICE GOVERNOR,"GARIN, TINGTING",GARIN,TINGTING,,,NP,443266
REGION II,ISABELA,,,VICE GOVERNOR,"DY, BOJIE",DY,BOJIE,,,PDPLBN,483608
CORDILLERA ADMINISTRATIVE REGION,KALINGA,,,VICE GOVERNOR,"ODIEM, DAVE",ODIEM,DAVE,,,NP,38275
REGION I,LA UNION,,,VICE GOVERNOR,"ORTEGA, MARIO EDUARDO",ORTEGA,MARIO,EDUARDO,,NUP,292239
REGION IV A,LAGUNA,,,VICE GOVERNOR,"AGAPAY, KAREN",AGAPAY,KAREN,,,PDPLBN,931401
REGION X,LANAO DEL NORTE,,,VICE GOVERNOR,"ATAY, CRISTY",ATAY,CRISTY,,,PDPLBN,155249
BARMM,LANAO DEL SUR,,,VICE GOVERNOR,"ADIONG, MUJAM",ADIONG,MUJAM,,,LAKAS,204275
REGION VIII,LEYTE,,,VICE GOVERNOR,"LORETO, CARLO",LORETO,CARLO,,,PDPLBN,383871
BARMM,MAGUINDANAO,,,VICE GOVERNOR,"SINSUAT, LESTER",SINSUAT,LESTER,,,PDPLBN,323181
REGION IV B,MARINDUQUE,,,VICE GOVERNOR,BACORRO,BACORRO,,,DOC,PDPLBN,53364
REGION V,MASBATE,,,VICE GOVERNOR,"KHO, ARA",KHO,ARA,,,PDPLBN,249711
REGION X,MISAMIS OCCIDENTAL,,,VICE GOVERNOR,"ALMONTE, JIE-JIE",ALMONTE,JIE-JIE,,,NP,176693
REGION X,MISAMIS ORIENTAL,,,VICE GOVERNOR,"PELAEZ, JIGJAG",PELAEZ,JIGJAG,,,UNA,213115
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,,,VICE GOVERNOR,"TAULI, FRANCIS",TAULI,FRANCIS,,,PDPLBN,29020
REGION VI,NEGROS OCCIDENTAL,,,VICE GOVERNOR,"FERRER, JEFFREY",FERRER,JEFFREY,,,NUP,680547
REGION VII,NEGROS ORIENTAL,,,VICE GOVERNOR,"MACIAS, MARK",MACIAS,MARK,,DOC,LP,338742
REGION VIII,NORTHERN SAMAR,,,VICE GOVERNOR,"LAVIN, GARY",LAVIN,GARY,,,NUP,168367
REGION III,NUEVA ECIJA,,,VICE GOVERNOR,"UMALI, ANTHONY",UMALI,ANTHONY,,DOC,SIGAW,510253
REGION II,NUEVA VIZCAYA,,,VICE GOVERNOR,"TOMAS, TAM-AN",TOMAS,TAM-AN,,,NUP,98846
REGION IV B,OCCIDENTAL MINDORO,,,VICE GOVERNOR,"ALFARO, PETER",ALFARO,PETER,,,PDPLBN,114682
REGION IV B,ORIENTAL MINDORO,,,VICE GOVERNOR,"PEREZ, CA JOJO",PEREZ,CA,JOJO,,PDPLBN,184067
REGION IV B,PALAWAN,,,VICE GOVERNOR,"SOCRATES, DENNIS",SOCRATES,DENNIS,,,PPP,244224
REGION III,PAMPANGA,,,VICE GOVERNOR,"PINEDA, NANAY BABY",PINEDA,NANAY,BABY,,KMBLN,808015
REGION I,PANGASINAN,,,VICE GOVERNOR,"LAMBINO, MARK",LAMBINO,MARK,,,NPC,716010
REGION IV A,QUEZON,,,VICE GOVERNOR,"NANTES, SAM",NANTES,SAM,,,NP,645574
REGION II,QUIRINO,,,VICE GOVERNOR,"VAQUILAR, JOJO",VAQUILAR,JOJO,,,PDPLBN,52850
REGION IV A,RIZAL,,,VICE GOVERNOR,"SAN JUAN, REYNALDO JR.",SAN JUAN,REYNALDO,JR.,,PFP,629045
REGION IV B,ROMBLON,,,VICE GOVERNOR,"YLAGAN, DONG-DONG",YLAGAN,DONG-DONG,,,LAKAS,62684
REGION VIII,SAMAR,,,VICE GOVERNOR,"TAN, REYNOLDS MICHAEL",TAN,REYNOLDS,MICHAEL,,PDPLBN,213068
REGION XII,SARANGANI,,,VICE GOVERNOR,"DE PERALTA, ELMER",DE PERALTA,ELMER,,,PCM,146750
REGION VII,SIQUIJOR,,,VICE GOVERNOR,"QUEZON, MEI LING",QUEZON,MEI,LING,,NPC,29230
REGION V,SORSOGON,,,VICE GOVERNOR,"FORTES, WOWO",FORTES,WOWO,,,NPC,215895
REGION XII,SOUTH COTABATO,,,VICE GOVERNOR,"DE JESUS, VICENTE",DE JESUS,VICENTE,,,PDPLBN,193649
REGION VIII,SOUTHERN LEYTE,,,VICE GOVERNOR,"YAP, COCO",YAP,COCO,,,PDPLBN,131145
REGION XII,SULTAN KUDARAT,,,VICE GOVERNOR,"ABALOS, RAMON",ABALOS,RAMON,,,PDPLBN,166177
BARMM,SULU,,,VICE GOVERNOR,"TAN, ABDUSAKUR II",TAN,ABDUSAKUR,II,,PDPLBN,134633
REGION XIII,SURIGAO DEL NORTE,,,VICE GOVERNOR,"GOKIANGKEE, GEED",GOKIANGKEE,GEED,,,PDPLBN,164045
REGION XIII,SURIGAO DEL SUR,,,VICE GOVERNOR,"NAVARRO, LIBRADO",NAVARRO,LIBRADO,,,PDPLBN,107514
REGION III,TARLAC,,,VICE GOVERNOR,"DAVID, CASADA",DAVID,CASADA,,,NPC,299924
BARMM,TAWI TAWI,,,VICE GOVERNOR,"AHAJA, TATI",AHAJA,TATI,,,NUP,87042
REGION III,ZAMBALES,,,VICE GOVERNOR,"KHONGHUN, JAY",KHONGHUN,JAY,,,PDPLBN,181402
REGION IX,ZAMBOANGA DEL NORTE,,,VICE GOVERNOR,"ANGELES, SENEN",ANGELES,SENEN,,,PDPLBN,229661
REGION IX,ZAMBOANGA DEL SUR,,,VICE GOVERNOR,"ARIOSA, ROY",ARIOSA,ROY,,,UNA,248545
REGION IX,ZAMBOANGA SIBUGAY,,,VICE GOVERNOR,"OLEGARIO, REY",OLEGARIO,REY,,,NP,131550
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"DAYAG, ANTONIO",DAYAG,ANTONIO,,,ASENSO,30024
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"ANDANAN, NARDZ",ANDANAN,NARDZ,,,ASENSO,29036
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"DE LA PAZ, RUDY",DE LA PAZ,RUDY,,,ASENSO,27852
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"GAYAO, ART",GAYAO,ART,,,ASENSO,24910
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"SEARES, ALLAN",SEARES,ALLAN,,,ASENSO,46902
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"ALZATE, BYRONE",ALZATE,BYRONE,,,ASENSO,44028
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"ABAYA, PATROCINIO JR.",ABAYA,PATROCINIO,JR.,,ASENSO,43262
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"JENKINS, GINA",JENKINS,GINA,,,ASENSO,41269
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"ESCASIÑAS, VIRGILIO JR.",ESCASIÑAS,VIRGILIO,JR.,,PDPLBN,11472
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"MUSICO, VICTOR",MUSICO,VICTOR,,,NP,2155
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"CHAN, BOBONG",CHAN,BOBONG,,,PDPLBN,97273
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"CALO, BABETTE",CALO,BABETTE,,,PDPLBN,96533
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"PITOGO, RUDY",PITOGO,RUDY,,,PDPLBN,94563
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"FAMADOR, NIEVA",FAMADOR,NIEVA,,,PDPLBN,92864
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"BASTARECHE, TOTO",BASTARECHE,TOTO,,,NUP,77123
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"ALONDE, CESAR",ALONDE,CESAR,,,NUP,76255
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"GERONA, SUSAN",GERONA,SUSAN,,,NUP,74446
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"MASENDO, JESRYL",MASENDO,JESRYL,,,NUP,69262
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"DEL ROSARIO, KLENG",DEL ROSARIO,KLENG,,,NUP,81703
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"ELORDE, EDWIN",ELORDE,EDWIN,,,NUP,76708
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"YUCOSING, PAMELA",YUCOSING,PAMELA,,,NUP,70701
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"LIM, ALLAN",LIM,ALLAN,,,NUP,63828
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"NERON, AMPOD",NERON,AMPOD,,,PDPLBN,66897
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"SUCRO, JURIS",SUCRO,JURIS,,,PDPLBN,65019
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"DELA CRUZ, SOVIET",DELA CRUZ,SOVIET,,,NP,62620
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"SUCGANG, HARRY",SUCGANG,HARRY,,,NPC,52700
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"SODUSTA, IMMANUEL",SODUSTA,IMMANUEL,,,NPC,50915
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"MIRAFLORES, MIGUEL",MIRAFLORES,MIGUEL,,,PDPLBN,64587
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"TEJADA, JAY",TEJADA,JAY,,,PDPLBN,63741
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"FLORES, ESEL",FLORES,ESEL,,,PDPLBN,61528
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"SANTAMARIA, NELSON",SANTAMARIA,NELSON,,,PDPLBN,51848
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"GELITO, RAMON",GELITO,RAMON,,,PDPLBN,48246
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"BRAGAIS, REY",BRAGAIS,REY,,,LP,105383
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"ZIGA, VICTOR JR.",ZIGA,VICTOR,JR.,,UNA,85639
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"BONGAO, BABY GLENDA",BONGAO,BABY,GLENDA,,LP,80651
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"ROSAL, ROLLY",ROSAL,ROLLY,,,IND,104059
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"ABADEZA, MELISSA",ABADEZA,MELISSA,,,PDPLBN,100266
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"MONTALLANA, NEIL",MONTALLANA,NEIL,,,PDPLBN,70278
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"SALCEDA, JESAP",SALCEDA,JESAP,,,PDPLBN,136983
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"ARANDIA, DANTE",ARANDIA,DANTE,,,PDPLBN,110086
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"RIBAYA, EVA",RIBAYA,EVA,,,PDPLBN,104074
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"PLAMERAS, NENE MAYE",PLAMERAS,NENE,MAYE,,NPC,70297
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"PICCIO, VINCENT III",PICCIO,VINCENT,III,,NUP,61880
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"SUMANDE, PIO",SUMANDE,PIO,,,NPC,55105
