region,province,city,district,position,candidate_name,last_name,first_name,middle_name,title,party,votes
CORDILLERA ADMINISTRATIVE REGION,ABRA,,,GOVERNOR,"BERNOS, JOY",BERNOS,JOY,,,ASENSO,104701
REGION XIII,AGUSAN DEL NORTE,,,GOVERNOR,"CORVERA, DALE",CORVERA,DALE,,,PDPLBN,123726
REGION XIII,AGUSAN DEL SUR,,,GOVERNOR,"CANE, SANTI",CANE,SANTI,,,NUP,150479
REGION VI,AKLAN,,,GOVERNOR,"MIRAFLORES, JOEBEN",MIRAFLORES,JOEBEN,,,PDPLBN,143066
REGION V,ALBAY,,,GOVERNOR,"BICHARA, AL FRANCIS",BICHARA,AL,FRANCIS,,PDPLBN,292767
REGION VI,ANTIQUE,,,GOVERNOR,"CADIAO, RHODORA",CADIAO,RHODORA,,,NUP,182026
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,,GOVERNOR,"BULUT-BEGTANG, ELEANOR",BULUT-BEGTANG,ELEANOR,,,PDPLBN,45343
REGION III,AURORA,,,GOVERNOR,"NOVERAS, GERARDO",NOVERAS,GERARDO,,,NPC,60526
BARMM,BASILAN,,,GOVERNOR,"SALLIMAN, HATAMAN JIM",SALLIMAN,HATAMAN,JIM,,PDPLBN,80855
REGION III,BATAAN,,,GOVERNOR,"GARCIA, ABET",GARCIA,ABET,,,NUP,290107
REGION II,BATANES,,,GOVERNOR,"CAYCO, MARILOU",CAYCO,MARILOU,,,LP,5753
REGION IV A,BATANGAS,,,GOVERNOR,"MANDANAS, DODO",MANDANAS,DODO,,,PDPLBN,1077389
CORDILLERA ADMINISTRATIVE REGION,BENGUET,,,GOVERNOR,"DICLAS, MELCHOR",DICLAS,MELCHOR,,,PDPLBN,98745
REGION VIII,BILIRAN,,,GOVERNOR,"ESPINA, ROGELIO",ESPINA,ROGELIO,,,NP,55836
REGION VII,BOHOL,,,GOVERNOR,"YAP, ARTHUR",YAP,ARTHUR,,,PDPLBN,326895
REGION X,BUKIDNON,,,GOVERNOR,"ZUBIRI, JOSE MARIA JR.",ZUBIRI,JOSE,MARIA JR.,,BPP,440132
REGION III,BULACAN,,,GOVERNOR,"FERNANDO, DANIEL",FERNANDO,DANIEL,,,NUP,706903
REGION II,CAGAYAN,,,GOVERNOR,"MAMBA, MANUEL",MAMBA,MANUEL,,,IND,254598
REGION V,CAMARINES NORTE,,,GOVERNOR,"TALLADO, EDGARDO",TALLADO,EDGARDO,,,PDPLBN,149753
REGION V,CAMARINES SUR,,,GOVERNOR,"VILLAFUERTE, MIGZ",VILLAFUERTE,MIGZ,,,PDPLBN,413592
REGION X,CAMIGUIN,,,GOVERNOR,"ROMUALDO, JJ",ROMUALDO,JJ,,,NPC,40217
REGION VI,CAPIZ,,,GOVERNOR,"CONTRERAS, NONOY EVAN",CONTRERAS,NONOY,EVAN,,IND,161475
REGION V,CATANDUANES,,,GOVERNOR,"CUA, JOSEPH",CUA,JOSEPH,,,UNA,85559
REGION IV A,CAVITE,,,GOVERNOR,"REMULLA, JONVIC",REMULLA,JONVIC,,,NP,825485
REGION VII,CEBU,,,GOVERNOR,"GARCIA, GWEN",GARCIA,GWEN,,,PDPLBN,887290
REGION XII,COTABATO,,,GOVERNOR,"CATAMCO, NANCY",CATAMCO,NANCY,,,PDPLBN,272249
REGION XI,DAVAO DE ORO,,,GOVERNOR,"UY, JAYVEE TYRON",UY,JAYVEE,TYRON,,HNP,256341
REGION XI,DAVAO DEL NORTE,,,GOVERNOR,"JUBAHIB, KUYA EDWIN",JUBAHIB,KUYA,EDWIN,,PDPLBN,280335
REGION XI,DAVAO DEL SUR,,,GOVERNOR,"CAGAS, DOUGLAS",CAGAS,DOUGLAS,,,IND,185024
REGION XI,DAVAO OCCIDENTAL,,,GOVERNOR,"BAUTISTA, CLAUDE",BAUTISTA,CLAUDE,,,HNP,84666
REGION XI,DAVAO ORIENTAL,,,GOVERNOR,"DAYANGHIRANG, NELSON",DAYANGHIRANG,NELSON,,,NP,188884
REGION XIII,DINAGAT ISLANDS,,,GOVERNOR,"BAG-AO, KAKA",BAG-AO,KAKA,,,LP,29869
REGION VIII,EASTERN SAMAR,,,GOVERNOR,"EVARDONE, BEN",EVARDONE,BEN,,,PDPLBN,132613
REGION VI,GUIMARAS,,,GOVERNOR,"GUMARIN, SAMUEL",GUMARIN,SAMUEL,,,PDPLBN,76905
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,GOVERNOR,"DALIPOG, JERRY",DALIPOG,JERRY,,,NUP,35901
REGION I,ILOCOS NORTE,,,GOVERNOR,"MANOTOC, MATTHEW MARCOS",MANOTOC,MATTHEW,MARCOS,,NP,260938
REGION I,ILOCOS SUR,,,GOVERNOR,"SINGSON, RYAN LUIS",SINGSON,RYAN,LUIS,,BILEG,290140
REGION VI,ILOILO,,,GOVERNOR,"DEFENSOR, ARTHUR JR.",DEFENSOR,ARTHUR,JR.,,PDPLBN,479081
REGION II,ISABELA,,,GOVERNOR,"ALBANO, RODITO",ALBANO,RODITO,,,PDPLBN,576862
CORDILLERA ADMINISTRATIVE REGION,KALINGA,,,GOVERNOR,"TUBBAN, FERDINAND",TUBBAN,FERDINAND,,,PDPLBN,39148
REGION I,LA UNION,,,GOVERNOR,"ORTEGA, PACOY",ORTEGA,PACOY,,,PDPLBN,334366
REGION IV A,LAGUNA,,,GOVERNOR,"HERNANDEZ, RAMIL",HERNANDEZ,RAMIL,,,PDPLBN,817250
REGION X,LANAO DEL NORTE,,,GOVERNOR,"DIMAPORO, ANGGING",DIMAPORO,ANGGING,,,PDPLBN,186535
